seqnames	start	end	width	strand	Conc	Conc_fDMSOw1	Conc_fTBTw1	Fold	p.value	FDR
1	chr4	94697200	94697600	401	*	5.84903875634451	6.54152689513053	4.95457953833097	0.7857090276006	4.16986039998106e-05	0.0312378330077795
2	chr1	194335469	194335869	401	*	6.49002753619311	7.09002290953315	5.78449530084344	0.74805607758794	7.33379741444174e-05	0.0312378330077795
3	chr5	127374153	127374553	401	*	6.05528890428674	6.70976580923961	5.24297090509916	0.734524112518175	0.000116808519016665	0.0312378330077795
4	chr6	77378279	77378679	401	*	5.7391040606473	6.40816384356552	4.8960771435748	0.730485413524974	0.000126429436598689	0.0312378330077795
5	chr19	13791840	13792240	401	*	6.2137278307212	6.84335470563069	5.45160086146196	0.727122770654075	0.000131104420221267	0.0312378330077795
6	chr11	32594005	32594405	401	*	5.81805533382711	6.44049663653853	5.0699657632533	0.715174126557623	0.000160661831924707	0.0312378330077795
7	chr5	144767279	144767679	401	*	5.67202034595444	6.3430085624561	4.82485951180624	0.709410361411783	0.000187180262393083	0.0312378330077795
8	chr2	27476401	27476801	401	*	6.44951367520837	7.03218292030473	5.77556046645459	0.699101418263195	0.00019129417769374	0.0312378330077795
9	chr17	29301693	29302093	401	*	5.35556422741912	6.01605738739801	4.53069371791454	0.708310512364466	0.000194643787511463	0.0312378330077795
10	chr13	73593264	73593664	401	*	6.94827683329344	7.53878227780927	6.26017364415709	0.702536675735985	0.00020061914879607	0.0312378330077795
11	chr7	116192140	116192540	401	*	7.2860639145061	7.83072144460631	6.67781947248399	0.6744229667095	0.00029778476294072	0.0312378330077795
12	chr2	156859269	156859669	401	*	6.03167834521748	6.58971167367558	5.40084739797108	0.675344349048781	0.000306906473105425	0.0312378330077795
13	chr8	22212974	22213374	401	*	6.28668926671558	6.84245139668264	5.65973334864719	0.668473900566453	0.000343081346012539	0.0312378330077795
14	chr2	87514898	87515298	401	*	7.38980555981038	7.93454131543731	6.78143065121782	0.667614003711488	0.000345440200141933	0.0312378330077795
15	chr4	110886125	110886525	401	*	5.7551645831027	6.38237395128075	4.99778342308393	0.672098718659673	0.000382062033812704	0.0312378330077795
16	chr3	96635265	96636050	786	*	7.11912972713901	7.62178934298514	6.57831515842145	0.647942628203095	0.000390420508566244	0.0312378330077795
17	chr8	68880352	68880752	401	*	6.21391185913758	6.80097341667134	5.53205393838478	0.669464964618844	0.000393647669516492	0.0312378330077795
18	chr5	66422830	66423230	401	*	6.19195727121028	6.77066737876248	5.52507184031128	0.666750589139015	0.000404270062481083	0.0312378330077795
19	chr5	113865619	113866019	401	*	5.92935802327116	6.5386114914241	5.20650432306854	0.668028741874034	0.000410822087608275	0.0312378330077795
